Time,P,windspeed,wind direct,air temp,humidity,irrad global horizontal,irrad plant of array,pressure,rain fall,temp 1,temp 2,temp 3,wind direction,wind speed,year,month,day,hour,week,weekday,day_str,year_month
2023-06-13 04:00:00,109.3,5.416666666666667,241.0,29.741666666666664,86.31666666666666,0.0,0.0166666666666666,999.5833333333334,0.0,28.125,27.71666666666667,-40.0,134.83333333333334,0.8541666666666666,2023,6,13,4,24,2,Tue,2023_06
2023-06-13 05:00:00,134.91666666666666,5.890000000000001,243.41666666666666,29.808333333333334,86.0,17.95,16.829166666666666,1000.0,0.0,28.616666666666664,28.383333333333336,-40.0,130.73333333333332,0.9166666666666666,2023,6,13,5,24,2,Tue,2023_06
2023-06-13 06:00:00,98.46666666666665,5.336666666666667,246.83333333333334,30.133333333333336,86.05,81.64166666666667,75.325,1000.0833333333334,0.0,30.71666666666667,30.558333333333334,-40.0,133.41666666666666,0.9,2023,6,13,6,24,2,Tue,2023_06
2023-06-13 07:00:00,38.925000000000004,4.135,273.5833333333333,31.0,86.5,232.45,215.25,1001.0,0.0,35.0,34.733333333333334,-40.0,135.58333333333334,0.6583333333333333,2023,6,13,7,24,2,Tue,2023_06
2023-06-13 15:00:00,181.16666666666666,6.678333333333334,236.41666666666666,33.31666666666667,73.55833333333334,522.75,575.5833333333334,998.6666666666666,0.0,44.09166666666667,44.94166666666666,-40.0,187.08333333333331,1.6916666666666669,2023,6,13,15,24,2,Tue,2023_06
2023-06-13 16:00:00,90.40833333333335,5.2700000000000005,236.33333333333334,31.98333333333333,77.83333333333333,163.75,166.25,998.8333333333334,0.0,35.300000000000004,35.86666666666667,-40.0,179.83333333333334,1.3333333333333333,2023,6,13,16,24,2,Tue,2023_06
2023-06-13 17:00:00,81.25,5.160833333333334,229.91666666666666,31.10833333333333,81.08333333333333,57.8,55.26666666666667,999.0,0.0,31.75,31.75,-40.0,211.25,1.1833333333333331,2023,6,13,17,24,2,Tue,2023_06
2023-06-13 18:00:00,84.5,5.210833333333333,229.0,30.566666666666663,82.76666666666667,2.558333333333333,2.308333333333333,999.0833333333334,0.0,29.35833333333333,29.258333333333336,-40.0,201.16666666666663,0.7833333333333333,2023,6,13,18,24,2,Tue,2023_06
2023-06-14 02:00:00,133.41666666666666,6.1525,64.5,27.65,90.0,0.0,0.0,1001.4166666666666,0.0,26.53333333333333,26.46666666666667,-40.0,301.3333333333333,0.5499999999999999,2023,6,14,2,24,3,Wed,2023_06
2023-06-14 04:00:00,0.0,3.298,67.47500000000001,27.741666666666664,88.35833333333333,0.0,0.0,1002.0,0.0,26.433333333333334,26.391666666666666,-40.0,287.25,0.4333333333333333,2023,6,14,4,24,3,Wed,2023_06
2023-06-14 05:00:00,0.0,2.965,142.0,27.7,88.78333333333335,3.6666666666666665,3.5708333333333333,1002.25,0.0,26.35833333333333,26.325,-40.0,71.91666666666667,1.4833333333333334,2023,6,14,5,24,3,Wed,2023_06
2023-06-14 07:00:00,0.0,2.890833333333333,127.83333333333333,28.691666666666663,86.43333333333334,133.21666666666667,127.64166666666668,1003.75,0.0,30.391666666666666,31.60833333333333,-40.0,185.66666666666663,1.2208333333333334,2023,6,14,7,24,3,Wed,2023_06
2023-06-14 08:00:00,0.0,2.2983333333333333,121.66666666666667,29.141666666666666,84.83333333333333,226.16666666666663,217.33333333333331,1004.0,0.0,32.325,32.916666666666664,-40.0,273.0,1.125,2023,6,14,8,24,3,Wed,2023_06
