step,wall_time,ep_len_mean,relative_seconds,relative_time
2160000,1749956724.8631449,24.0,3129.137132167816,0:52:09.137132
2172000,1749956741.455748,24.0,3145.7297353744507,0:52:25.729735
2184000,1749956758.422624,24.0,3162.696611404419,0:52:42.696611
2196000,1749956777.1628032,24.0,3181.4367904663086,0:53:01.436790
2208000,1749956794.413351,24.0,3198.6873383522034,0:53:18.687338
2220000,1749956811.1267874,24.0,3215.400774717331,0:53:35.400775
2232000,1749956828.060265,24.0,3232.334252357483,0:53:52.334252
2244000,1749956845.1570587,24.0,3249.4310460090637,0:54:09.431046
2256000,1749956863.054385,24.0,3267.3283722400665,0:54:27.328372
2268000,1749956880.9341109,24.0,3285.2080981731415,0:54:45.208098
2280000,1749956898.0788393,24.0,3302.3528265953064,0:55:02.352827
2292000,1749956915.368074,24.0,3319.6420612335205,0:55:19.642061
2304000,1749956932.3508794,24.0,3336.6248667240143,0:55:36.624867
2316000,1749956949.2786486,24.0,3353.552635908127,0:55:53.552636
2328000,1749956966.7040632,24.0,3370.978050470352,0:56:10.978050
2340000,1749956984.6476352,24.0,3388.9216225147247,0:56:28.921623
2352000,1749957001.3046691,24.0,3405.578656435013,0:56:45.578656
2364000,1749957017.9324164,24.0,3422.2064037323,0:57:02.206404
2376000,1749957034.5853617,24.0,3438.859349012375,0:57:18.859349
2388000,1749957050.9557958,24.0,3455.2297830581665,0:57:35.229783
2400000,1749957067.9715111,24.0,3472.245498418808,0:57:52.245498
2412000,1749957085.4563084,24.0,3489.7302956581116,0:58:09.730296
2424000,1749957103.0705626,24.0,3507.344549894333,0:58:27.344550
2436000,1749957120.3226008,24.0,3524.5965881347656,0:58:44.596588
2448000,1749957137.5503097,24.0,3541.824296951294,0:59:01.824297
2460000,1749957154.8072362,24.0,3559.081223487854,0:59:19.081223
2472000,1749957171.750637,24.0,3576.0246243476868,0:59:36.024624
