step,wall_time,train_approx_kl,relative_seconds,relative_time
1524000,1749657177.3151264,0.0058545880019664764,1474.7096140384674,0:24:34.709614
1536000,1749657188.5410264,0.00608604634180665,1485.935513973236,0:24:45.935514
1548000,1749657200.368246,0.004680556245148182,1497.7627336978912,0:24:57.762734
1560000,1749657212.2554333,0.004902519751340151,1509.6499209403992,0:25:09.649921
1572000,1749657224.0761862,0.004854532424360514,1521.4706737995148,0:25:21.470674
1584000,1749657235.9452453,0.005629817023873329,1533.3397328853607,0:25:33.339733
1596000,1749657247.706535,0.006653422024101019,1545.101022720337,0:25:45.101023
1608000,1749657259.4277592,0.003997377119958401,1556.8222467899323,0:25:56.822247
1620000,1749657270.5912285,0.006660507060587406,1567.9857161045074,0:26:07.985716
1632000,1749657282.2328935,0.007577510084956884,1579.6273810863495,0:26:19.627381
1644000,1749657294.14467,0.0038827848620712757,1591.539157629013,0:26:31.539158
1656000,1749657305.960349,0.0037004973273724318,1603.3548367023468,0:26:43.354837
1668000,1749657317.7383745,0.005598483141511679,1615.1328620910645,0:26:55.132862
1680000,1749657329.5356212,0.007210558746010065,1626.9301087856293,0:27:06.930109
1692000,1749657341.358384,0.007400217466056347,1638.7528715133667,0:27:18.752872
1704000,1749657352.5106828,0.0030265492387115955,1649.9051704406738,0:27:29.905170
1716000,1749657364.1195538,0.007835165597498417,1661.5140414237976,0:27:41.514041
1728000,1749657375.9973779,0.005663012154400349,1673.391865491867,0:27:53.391865
1740000,1749657387.7860167,0.007502805441617966,1685.180504322052,0:28:05.180504
1752000,1749657399.669743,0.008624653331935406,1697.0642306804657,0:28:17.064231
1764000,1749657411.5022137,0.005609162617474794,1708.896701335907,0:28:28.896701
1776000,1749657423.3175838,0.006243669893592596,1720.7120714187622,0:28:40.712071
1788000,1749657434.6026876,0.005578574724495411,1731.9971752166748,0:28:51.997175
1800000,1749657446.1310081,0.005457232240587473,1743.5254957675934,0:29:03.525496
1812000,1749657457.9820645,0.005846151616424322,1755.37655210495,0:29:15.376552
1824000,1749657469.7990708,0.003244043095037341,1767.1935584545135,0:29:27.193558
1836000,1749657481.583237,0.004695707932114601,1778.9777245521545,0:29:38.977725
1848000,1749657493.3977718,0.006953204516321421,1790.7922594547272,0:29:50.792259
1860000,1749657505.24119,0.0064606619998812675,1802.635677576065,0:30:02.635678
1872000,1749657516.5418222,0.0045860991813242435,1813.9363098144531,0:30:13.936310
1884000,1749657528.0917783,0.004936222452670336,1825.4862658977509,0:30:25.486266
1896000,1749657540.0372815,0.006419331766664982,1837.4317691326141,0:30:37.431769
1908000,1749657551.788071,0.010187986306846142,1849.1825585365295,0:30:49.182559
1920000,1749657563.6311526,0.0038194716908037663,1861.0256402492523,0:31:01.025640
1932000,1749657575.3459811,0.00650468934327364,1872.7404687404633,0:31:12.740469
1944000,1749657587.1245933,0.00680842250585556,1884.519080877304,0:31:24.519081
1956000,1749657598.5442877,0.0047706072218716145,1895.9387753009796,0:31:35.938775
1968000,1749657609.804231,0.006373269017785788,1907.198718547821,0:31:47.198719
1980000,1749657621.8075001,0.005513365380465984,1919.2019877433777,0:31:59.201988
1992000,1749657633.5775697,0.005462578497827053,1930.9720573425293,0:32:10.972057
2004000,1749657645.2970688,0.0056907967664301395,1942.6915564537048,0:32:22.691556
2016000,1749657657.087982,0.006774190813302994,1954.4824695587158,0:32:34.482470
2028000,1749657668.8720298,0.0066169858910143375,1966.2665174007416,0:32:46.266517
2040000,1749657680.3405929,0.005635901819914579,1977.7350804805756,0:32:57.735080
2052000,1749657691.6018014,0.006382157560437918,1988.9962890148163,0:33:08.996289
2064000,1749657703.4093795,0.007315219845622778,2000.8038671016693,0:33:20.803867
2076000,1749657715.2276685,0.0053449454717338085,2012.6221561431885,0:33:32.622156
2088000,1749657727.0187948,0.006420848425477743,2024.4132823944092,0:33:44.413282
