step,wall_time,train_learning_rate,relative_seconds,relative_time
2604000,1749734653.8485615,9.999999747378752e-05,2963.934539794922,0:49:23.934540
2616000,1749734667.7451487,9.999999747378752e-05,2977.8311269283295,0:49:37.831127
2628000,1749734681.444124,9.999999747378752e-05,2991.53010225296,0:49:51.530102
2640000,1749734695.2242372,9.999999747378752e-05,3005.310215473175,0:50:05.310215
2652000,1749734708.9153707,9.999999747378752e-05,3019.0013489723206,0:50:19.001349
2664000,1749734722.6701462,9.999999747378752e-05,3032.75612449646,0:50:32.756124
2676000,1749734736.4277976,9.999999747378752e-05,3046.5137758255005,0:50:46.513776
2688000,1749734750.0958757,9.999999747378752e-05,3060.1818540096283,0:51:00.181854
2700000,1749734763.9925082,9.999999747378752e-05,3074.078486442566,0:51:14.078486
2712000,1749734777.7750375,9.999999747378752e-05,3087.8610157966614,0:51:27.861016
2724000,1749734791.5362418,9.999999747378752e-05,3101.6222200393677,0:51:41.622220
2736000,1749734805.3845835,9.999999747378752e-05,3115.4705617427826,0:51:55.470562
2748000,1749734819.5078819,9.999999747378752e-05,3129.5938601493835,0:52:09.593860
2760000,1749734833.753216,9.999999747378752e-05,3143.8391942977905,0:52:23.839194
2772000,1749734847.9582684,9.999999747378752e-05,3158.044246673584,0:52:38.044247
2784000,1749734861.8846257,9.999999747378752e-05,3171.970603942871,0:52:51.970604
2796000,1749734875.9022062,9.999999747378752e-05,3185.988184452057,0:53:05.988184
2808000,1749734889.6241128,9.999999747378752e-05,3199.710091114044,0:53:19.710091
2820000,1749734903.2393959,9.999999747378752e-05,3213.3253741264343,0:53:33.325374
2832000,1749734917.1619442,9.999999747378752e-05,3227.2479224205017,0:53:47.247922
2844000,1749734931.80887,9.999999747378752e-05,3241.89484834671,0:54:01.894848
2856000,1749734946.3003268,9.999999747378752e-05,3256.3863050937653,0:54:16.386305
2868000,1749734960.0404146,9.999999747378752e-05,3270.126392841339,0:54:30.126393
2880000,1749734973.690332,9.999999747378752e-05,3283.7763102054596,0:54:43.776310
2892000,1749734987.4086447,9.999999747378752e-05,3297.4946229457855,0:54:57.494623
