step,wall_time,train_entropy_loss,relative_seconds,relative_time
972000,1749732790.381445,-8.90566635131836,1100.4674491882324,0:18:20.467449
984000,1749732803.8131065,-8.887433052062988,1113.8991107940674,0:18:33.899111
996000,1749732817.1183934,-8.87712574005127,1127.2043976783752,0:18:47.204398
1008000,1749732830.3708775,-8.86439323425293,1140.456881761551,0:19:00.456882
1020000,1749732843.6894124,-8.855469703674316,1153.7754166126251,0:19:13.775417
1032000,1749732857.0326157,-8.844858169555664,1167.1186199188232,0:19:27.118620
1044000,1749732870.325706,-8.81686782836914,1180.4117102622986,0:19:40.411710
1056000,1749732883.7393274,-8.801106452941895,1193.8253316879272,0:19:53.825332
1068000,1749732897.0973418,-8.783199310302734,1207.1833460330963,0:20:07.183346
1080000,1749732910.477559,-8.744150161743164,1220.5635633468628,0:20:20.563563
1092000,1749732923.834612,-8.727102279663086,1233.9206161499023,0:20:33.920616
1104000,1749732937.0959494,-8.714597702026367,1247.1819536685944,0:20:47.181954
1116000,1749732950.737682,-8.705506324768066,1260.8236863613129,0:21:00.823686
1128000,1749732964.1961079,-8.694668769836426,1274.282112121582,0:21:14.282112
1140000,1749732977.6679394,-8.672595024108887,1287.753943681717,0:21:27.753944
1152000,1749732991.1353295,-8.648890495300293,1301.2213337421417,0:21:41.221334
1164000,1749733004.6647294,-8.626812934875488,1314.750733613968,0:21:54.750734
1176000,1749733018.2339497,-8.60550308227539,1328.319953918457,0:22:08.319954
1188000,1749733031.8233507,-8.585055351257324,1341.9093549251556,0:22:21.909355
1200000,1749733045.2031043,-8.561199188232422,1355.2891085147858,0:22:35.289109
1212000,1749733058.5916865,-8.537699699401855,1368.6776907444,0:22:48.677691
1224000,1749733071.996225,-8.509987831115723,1382.0822293758392,0:23:02.082229
1236000,1749733085.5392675,-8.489241600036621,1395.6252717971802,0:23:15.625272
1248000,1749733099.058158,-8.47598934173584,1409.1441621780396,0:23:29.144162
1260000,1749733112.3980343,-8.443771362304688,1422.484038591385,0:23:42.484039
1272000,1749733126.001621,-8.415826797485352,1436.0876252651215,0:23:56.087625
1284000,1749733139.383708,-8.399547576904297,1449.4697122573853,0:24:09.469712
1296000,1749733152.7750063,-8.379401206970215,1462.8610105514526,0:24:22.861011
1308000,1749733166.1217132,-8.362972259521484,1476.2077174186707,0:24:36.207717
1320000,1749733179.5480783,-8.349945068359375,1489.6340825557709,0:24:49.634083
1332000,1749733193.0778756,-8.33541488647461,1503.1638798713684,0:25:03.163880
1344000,1749733206.3433743,-8.301249504089355,1516.4293785095215,0:25:16.429379
1356000,1749733219.9962008,-8.264140129089355,1530.0822050571442,0:25:30.082205
1368000,1749733233.6679456,-8.228262901306152,1543.7539498806,0:25:43.753950
1380000,1749733247.3984194,-8.198405265808105,1557.4844236373901,0:25:57.484424
1392000,1749733261.07615,-8.179327964782715,1571.1621541976929,0:26:11.162154
1404000,1749733274.8830469,-8.159780502319336,1584.9690511226654,0:26:24.969051
1416000,1749733288.5877404,-8.134943962097168,1598.6737446784973,0:26:38.673745
1428000,1749733306.9411159,-8.121280670166016,1617.0271201133728,0:26:57.027120
1440000,1749733320.4098697,-8.108661651611328,1630.49587392807,0:27:10.495874
1452000,1749733334.313215,-8.085397720336914,1644.3992192745209,0:27:24.399219
1464000,1749733348.1554744,-8.061789512634277,1658.2414786815643,0:27:38.241479
1476000,1749733362.021041,-8.038586616516113,1672.107045173645,0:27:52.107045
1488000,1749733375.915206,-8.019279479980469,1686.0012102127075,0:28:06.001210
1500000,1749733389.8903196,-8.007254600524902,1699.9763238430023,0:28:19.976324
1512000,1749733403.8086812,-7.989086151123047,1713.8946855068207,0:28:33.894686
1524000,1749733417.738784,-7.969654560089111,1727.8247883319855,0:28:47.824788
1536000,1749733431.655149,-7.952864646911621,1741.7411532402039,0:29:01.741153
1548000,1749733445.3149886,-7.936185359954834,1755.4009928703308,0:29:15.400993
1560000,1749733458.933744,-7.925127983093262,1769.019748210907,0:29:29.019748
1572000,1749733472.4930508,-7.913848876953125,1782.579055070877,0:29:42.579055
1584000,1749733486.1167548,-7.903252601623535,1796.202759027481,0:29:56.202759
1596000,1749733499.7659056,-7.88969612121582,1809.8519098758698,0:30:09.851910
1608000,1749733514.1338093,-7.8768205642700195,1824.2198135852814,0:30:24.219814
1620000,1749733528.0534105,-7.871133327484131,1838.1394147872925,0:30:38.139415
1632000,1749733541.9022698,-7.859866619110107,1851.9882740974426,0:30:51.988274
1644000,1749733555.4009492,-7.844986438751221,1865.486953496933,0:31:05.486953
1656000,1749733568.873417,-7.831486225128174,1878.959421157837,0:31:18.959421
1668000,1749733582.2891428,-7.817343235015869,1892.3751471042633,0:31:32.375147
1680000,1749733595.7416039,-7.799422264099121,1905.8276081085205,0:31:45.827608
1692000,1749733609.2057798,-7.788859844207764,1919.2917840480804,0:31:59.291784
1704000,1749733622.6835816,-7.781299591064453,1932.7695858478546,0:32:12.769586
1716000,1749733636.167685,-7.767055511474609,1946.253689289093,0:32:26.253689
1728000,1749733649.494318,-7.761435031890869,1959.580322265625,0:32:39.580322
1740000,1749733662.9563446,-7.757532119750977,1973.0423488616943,0:32:53.042349
1752000,1749733676.518782,-7.754824638366699,1986.604786157608,0:33:06.604786
1764000,1749733690.1650703,-7.757927417755127,2000.251074552536,0:33:20.251075
1776000,1749733703.8959355,-7.760167598724365,2013.981939792633,0:33:33.981940
1788000,1749733717.6385705,-7.751903057098389,2027.724574804306,0:33:47.724575
1800000,1749733731.6201067,-7.748005390167236,2041.7061109542847,0:34:01.706111
1812000,1749733745.5379336,-7.746384620666504,2055.62393784523,0:34:15.623938
1824000,1749733759.3128679,-7.732537746429443,2069.3988721370697,0:34:29.398872
1836000,1749733772.9313192,-7.723229885101318,2083.0173234939575,0:34:43.017323
1848000,1749733786.7507272,-7.724762916564941,2096.8367314338684,0:34:56.836731
1860000,1749733800.6499116,-7.731646537780762,2110.7359158992767,0:35:10.735916
1872000,1749733814.36275,-7.730360984802246,2124.448754310608,0:35:24.448754
1884000,1749733827.8639865,-7.72661018371582,2137.949990749359,0:35:37.949991
1896000,1749733841.3519828,-7.723072528839111,2151.437987089157,0:35:51.437987
1908000,1749733855.10184,-7.72300910949707,2165.187844276428,0:36:05.187844
1920000,1749733868.6135337,-7.725363254547119,2178.6995379924774,0:36:18.699538
1932000,1749733882.1525748,-7.720174789428711,2192.2385790348053,0:36:32.238579
1944000,1749733895.719985,-7.713923931121826,2205.805989265442,0:36:45.805989
1956000,1749733909.4538794,-7.710958480834961,2219.5398836135864,0:36:59.539884
1968000,1749733928.3275979,-7.697336673736572,2238.4136021137238,0:37:18.413602
1980000,1749733942.0011897,-7.680412769317627,2252.087193965912,0:37:32.087194
1992000,1749733955.7038362,-7.662503242492676,2265.7898404598236,0:37:45.789840
2004000,1749733969.4265068,-7.657097816467285,2279.5125110149384,0:37:59.512511
2016000,1749733983.1001945,-7.652119159698486,2293.1861987113953,0:38:13.186199
2028000,1749733996.8258948,-7.638965606689453,2306.9118990898132,0:38:26.911899
2040000,1749734010.602166,-7.628286838531494,2320.688170194626,0:38:40.688170
2052000,1749734024.3315623,-7.62193489074707,2334.417566537857,0:38:54.417567
2064000,1749734038.4415202,-7.6199259757995605,2348.527524471283,0:39:08.527524
2076000,1749734052.1140478,-7.607138156890869,2362.200052022934,0:39:22.200052
2088000,1749734065.6344273,-7.591485977172852,2375.7204315662384,0:39:35.720432
2100000,1749734079.0798528,-7.5769548416137695,2389.165857076645,0:39:49.165857
2112000,1749734092.749605,-7.572483062744141,2402.8356091976166,0:40:02.835609
2124000,1749734106.3490472,-7.562331199645996,2416.4350514411926,0:40:16.435051
2136000,1749734119.9832172,-7.552277565002441,2430.069221496582,0:40:30.069221
2148000,1749734133.740767,-7.549962520599365,2443.826771259308,0:40:43.826771
2160000,1749734147.3033884,-7.546303749084473,2457.3893926143646,0:40:57.389393
2172000,1749734161.0699754,-7.538812160491943,2471.1559796333313,0:41:11.155980
2184000,1749734174.7430618,-7.529040813446045,2484.8290660381317,0:41:24.829066
2196000,1749734188.2705133,-7.523069858551025,2498.3565175533295,0:41:38.356518
2208000,1749734201.7151735,-7.513998508453369,2511.801177740097,0:41:51.801178
2220000,1749734215.1192598,-7.503278732299805,2525.2052640914917,0:42:05.205264
2232000,1749734228.478557,-7.5003204345703125,2538.564561367035,0:42:18.564561
2244000,1749734241.85808,-7.495048522949219,2551.9440841674805,0:42:31.944084
2256000,1749734255.271957,-7.485600471496582,2565.357961177826,0:42:45.357961
2268000,1749734268.7041547,-7.476152420043945,2578.7901589870453,0:42:58.790159
2280000,1749734282.31618,-7.474977493286133,2592.4021842479706,0:43:12.402184
2292000,1749734295.9440787,-7.48084020614624,2606.0300829410553,0:43:26.030083
2304000,1749734309.300754,-7.481164455413818,2619.386758327484,0:43:39.386758
2316000,1749734322.720269,-7.474294662475586,2632.8062732219696,0:43:52.806273
2328000,1749734336.2906537,-7.464632987976074,2646.376657962799,0:44:06.376658
2340000,1749734349.6867638,-7.45089054107666,2659.77276802063,0:44:19.772768
2352000,1749734363.2464373,-7.448686599731445,2673.3324415683746,0:44:33.332442
2364000,1749734376.9950192,-7.448620796203613,2687.081023454666,0:44:47.081023
2376000,1749734391.273364,-7.449746131896973,2701.35936832428,0:45:01.359368
2388000,1749734405.2271934,-7.446701526641846,2715.3131976127625,0:45:15.313198
2400000,1749734419.0404546,-7.433994293212891,2729.1264588832855,0:45:29.126459
2412000,1749734432.6392565,-7.419312000274658,2742.725260734558,0:45:42.725261
2424000,1749734446.3588037,-7.418181419372559,2756.4448080062866,0:45:56.444808
2436000,1749734460.2154102,-7.413356781005859,2770.301414489746,0:46:10.301414
2448000,1749734473.9628644,-7.393608093261719,2784.0488686561584,0:46:24.048869
2460000,1749734487.860218,-7.383810043334961,2797.946222305298,0:46:37.946222
2472000,1749734501.7821062,-7.372783184051514,2811.8681104183197,0:46:51.868110
2484000,1749734515.7506304,-7.368540287017822,2825.8366346359253,0:47:05.836635
2496000,1749734529.6178093,-7.37045955657959,2839.7038135528564,0:47:19.703814
2508000,1749734543.661235,-7.364470481872559,2853.7472393512726,0:47:33.747239
2520000,1749734557.2273645,-7.3620219230651855,2867.3133687973022,0:47:47.313369
2532000,1749734570.8117197,-7.353199481964111,2880.8977239131927,0:48:00.897724
2544000,1749734584.7617404,-7.343267440795898,2894.847744703293,0:48:14.847745
2556000,1749734598.540847,-7.338300704956055,2908.6268513202667,0:48:28.626851
2568000,1749734612.0743349,-7.3269829750061035,2922.16033911705,0:48:42.160339
2580000,1749734625.8827507,-7.318835735321045,2935.96875500679,0:48:55.968755
2592000,1749734639.874849,-7.30919075012207,2949.9608533382416,0:49:09.960853
2604000,1749734653.8485177,-7.300961494445801,2963.9345219135284,0:49:23.934522
2616000,1749734667.7451074,-7.2970967292785645,2977.8311116695404,0:49:37.831112
2628000,1749734681.4441004,-7.292097091674805,2991.530104637146,0:49:51.530105
2640000,1749734695.2242134,-7.290650844573975,3005.3102176189423,0:50:05.310218
2652000,1749734708.9153333,-7.2847089767456055,3019.0013375282288,0:50:19.001338
2664000,1749734722.6701229,-7.277556896209717,3032.7561271190643,0:50:32.756127
2676000,1749734736.4277399,-7.269010543823242,3046.5137441158295,0:50:46.513744
2688000,1749734750.0958343,-7.249367713928223,3060.1818385124207,0:51:00.181839
2700000,1749734763.9924488,-7.225149631500244,3074.078453063965,0:51:14.078453
2712000,1749734777.7750046,-7.219410419464111,3087.8610088825226,0:51:27.861009
2724000,1749734791.5362165,-7.213104724884033,3101.6222207546234,0:51:41.622221
2736000,1749734805.3845587,-7.207902431488037,3115.4705629348755,0:51:55.470563
2748000,1749734819.5078413,-7.201899528503418,3129.59384560585,0:52:09.593846
2760000,1749734833.7531881,-7.189184665679932,3143.839192390442,0:52:23.839192
2772000,1749734847.9582238,-7.171271800994873,3158.044228076935,0:52:38.044228
2784000,1749734861.8845847,-7.155919551849365,3171.9705889225006,0:52:51.970589
2796000,1749734875.9021697,-7.1461920738220215,3185.9881739616394,0:53:05.988174
2808000,1749734889.6240728,-7.141395092010498,3199.710077047348,0:53:19.710077
2820000,1749734903.239345,-7.132765769958496,3213.325349330902,0:53:33.325349
2832000,1749734917.161908,-7.118350028991699,3227.247912168503,0:53:47.247912
2844000,1749734931.8088336,-7.113469123840332,3241.8948378562927,0:54:01.894838
2856000,1749734946.3002887,-7.112859725952148,3256.3862929344177,0:54:16.386293
2868000,1749734960.040379,-7.106724739074707,3270.126383304596,0:54:30.126383
2880000,1749734973.6902947,-7.094994068145752,3283.7762989997864,0:54:43.776299
2892000,1749734987.4086072,-7.089824199676514,3297.4946115016937,0:54:57.494612
2904000,1749735001.326399,-7.089053630828857,3311.412403345108,0:55:11.412403
2916000,1749735015.6063688,-7.084498405456543,3325.6923730373383,0:55:25.692373
2928000,1749735029.6656535,-7.0808539390563965,3339.7516577243805,0:55:39.751658
2940000,1749735043.7364092,-7.075799942016602,3353.822413444519,0:55:53.822413
2952000,1749735057.7735922,-7.0639190673828125,3367.85959649086,0:56:07.859596
2964000,1749735071.6871154,-7.046567916870117,3381.773119688034,0:56:21.773120
2976000,1749735085.6515987,-7.035220146179199,3395.7376029491425,0:56:35.737603
2988000,1749735099.5800107,-7.0286478996276855,3409.6660149097443,0:56:49.666015
3000000,1749735113.771405,-7.020673751831055,3423.8574092388153,0:57:03.857409
3012000,1749735127.884988,-7.009040355682373,3437.9709923267365,0:57:17.970992
3024000,1749735141.917916,-6.997277736663818,3452.003920316696,0:57:32.003920
3036000,1749735155.8571136,-6.987400054931641,3465.9431178569794,0:57:45.943118
3048000,1749735169.9565802,-6.979325771331787,3480.0425844192505,0:58:00.042584
3060000,1749735184.194378,-6.974366664886475,3494.280382156372,0:58:14.280382
3072000,1749735198.243027,-6.9708170890808105,3508.329031229019,0:58:28.329031
3084000,1749735212.0061455,-6.962621212005615,3522.092149734497,0:58:42.092150
3096000,1749735225.7938411,-6.95295524597168,3535.879845380783,0:58:55.879845
3108000,1749735239.982415,-6.943886756896973,3550.0684192180634,0:59:10.068419
3120000,1749735254.1242476,-6.9359235763549805,3564.2102518081665,0:59:24.210252
