step,wall_time,train_explained_variance,relative_seconds,relative_time
1056000,1749732883.7393467,0.026440143585205078,1193.8253376483917,0:19:53.825338
1068000,1749732897.0973618,0.009049296379089355,1207.1833527088165,0:20:07.183353
1080000,1749732910.4775712,0.01642453670501709,1220.56356215477,0:20:20.563562
1092000,1749732923.8346243,0.02316945791244507,1233.920615196228,0:20:33.920615
1104000,1749732937.095967,0.01693415641784668,1247.1819579601288,0:20:47.181958
1116000,1749732950.7376993,0.018451690673828125,1260.8236901760101,0:21:00.823690
1128000,1749732964.196127,0.015525221824645996,1274.282117843628,0:21:14.282118
1140000,1749732977.6679583,0.021174371242523193,1287.7539491653442,0:21:27.753949
1152000,1749732991.1353474,0.026396870613098145,1301.2213382720947,0:21:41.221338
1164000,1749733004.664749,0.017300665378570557,1314.750739812851,0:21:54.750740
1176000,1749733018.2339618,0.01726001501083374,1328.3199527263641,0:22:08.319953
1188000,1749733031.8233652,0.03038686513900757,1341.9093561172485,0:22:21.909356
1200000,1749733045.2031167,0.008854806423187256,1355.2891075611115,0:22:35.289108
1212000,1749733058.5916982,0.028182387351989746,1368.67768907547,0:22:48.677689
1224000,1749733071.996237,0.003619968891143799,1382.0822279453278,0:23:02.082228
1236000,1749733085.5392869,0.021154046058654785,1395.6252777576447,0:23:15.625278
1248000,1749733099.0581765,0.0067909955978393555,1409.1441674232483,0:23:29.144167
1260000,1749733112.3980734,0.026176869869232178,1422.4840643405914,0:23:42.484064
1272000,1749733126.001633,0.03038918972015381,1436.08762383461,0:23:56.087624
1284000,1749733139.3837218,0.03040379285812378,1449.4697127342224,0:24:09.469713
1296000,1749733152.7750258,0.011372029781341553,1462.8610167503357,0:24:22.861017
1308000,1749733166.1217346,0.011099159717559814,1476.2077255249023,0:24:36.207726
1320000,1749733179.5480907,0.009002208709716797,1489.6340816020966,0:24:49.634082
1332000,1749733193.0778933,0.013657689094543457,1503.1638841629028,0:25:03.163884
1344000,1749733206.343393,0.019067883491516113,1516.4293839931488,0:25:16.429384
1356000,1749733219.9962127,0.014066815376281738,1530.0822036266327,0:25:30.082204
1368000,1749733233.6679645,0.005972087383270264,1543.7539553642273,0:25:43.753955
1380000,1749733247.3984387,0.01688408851623535,1557.4844295978546,0:25:57.484430
1392000,1749733261.0761688,0.01201629638671875,1571.1621596813202,0:26:11.162160
1404000,1749733274.8830662,0.01767188310623169,1584.9690570831299,0:26:24.969057
1416000,1749733288.5877528,0.009243905544281006,1598.673743724823,0:26:38.673744
1428000,1749733306.9411364,0.00969851016998291,1617.0271272659302,0:26:57.027127
1440000,1749733320.409888,-0.0002123117446899414,1630.4958789348602,0:27:10.495879
1452000,1749733334.3132365,0.010003328323364258,1644.3992273807526,0:27:24.399227
1464000,1749733348.155496,0.00910264253616333,1658.241486787796,0:27:38.241487
1476000,1749733362.021059,0.00838005542755127,1672.1070499420166,0:27:52.107050
1488000,1749733375.9152238,0.010404527187347412,1686.0012147426605,0:28:06.001215
1500000,1749733389.8903317,-0.002091646194458008,1699.9763226509094,0:28:19.976323
