step,wall_time,train_value_loss,relative_seconds,relative_time
1152000,1749732991.135907,161.9452362060547,1301.2213773727417,0:21:41.221377
1164000,1749733004.6655293,94.3015365600586,1314.7509996891022,0:21:54.751000
1176000,1749733018.2344267,75.49240112304688,1328.3198971748352,0:22:08.319897
1188000,1749733031.8238516,81.67549133300781,1341.9093220233917,0:22:21.909322
1200000,1749733045.2036605,114.84147644042969,1355.2891309261322,0:22:35.289131
1212000,1749733058.5925152,35.84005355834961,1368.6779856681824,0:22:48.677986
1224000,1749733071.9967487,63.62895965576172,1382.0822191238403,0:23:02.082219
1236000,1749733085.5401433,33.6352653503418,1395.6256136894226,0:23:15.625614
1248000,1749733099.05896,18.993160247802734,1409.144430398941,0:23:29.144430
1260000,1749733112.3985877,14.165817260742188,1422.4840581417084,0:23:42.484058
1272000,1749733126.0021207,15.422703742980957,1436.0875911712646,0:23:56.087591
1284000,1749733139.3847234,10.280695915222168,1449.470193862915,0:24:09.470194
1296000,1749733152.7758222,6.646083354949951,1462.8612926006317,0:24:22.861293
1308000,1749733166.12267,7.817404270172119,1476.20814037323,0:24:36.208140
1320000,1749733179.5485547,18.926109313964844,1489.6340250968933,0:24:49.634025
1332000,1749733193.078554,3.781320571899414,1503.1640243530273,0:25:03.164024
1344000,1749733206.343955,2.4160046577453613,1516.4294254779816,0:25:16.429425
1356000,1749733219.9969416,3.934436559677124,1530.0824120044708,0:25:30.082412
1368000,1749733233.6685286,1.9370205402374268,1543.7539989948273,0:25:43.753999
1380000,1749733247.399065,2.5174930095672607,1557.4845354557037,0:25:57.484535
1392000,1749733261.0770977,1.5548102855682373,1571.1625680923462,0:26:11.162568
1404000,1749733274.884205,1.782109022140503,1584.969675540924,0:26:24.969676
1416000,1749733288.5885324,2.2430453300476074,1598.6740028858185,0:26:38.674003
1428000,1749733306.9421287,1.2096505165100098,1617.0275990962982,0:26:57.027599
1440000,1749733320.4104867,0.5207146406173706,1630.4959571361542,0:27:10.495957
1452000,1749733334.3142872,0.9642108678817749,1644.3997576236725,0:27:24.399758
1464000,1749733348.1586072,0.4077330231666565,1658.2440776824951,0:27:38.244078
1476000,1749733362.02162,0.9413976073265076,1672.107090473175,0:27:52.107090
1488000,1749733375.9157982,1.7025885581970215,1686.0012686252594,0:28:06.001269
1500000,1749733389.8912315,0.4610442519187927,1699.9767019748688,0:28:19.976702
1512000,1749733403.8095205,0.48414573073387146,1713.8949909210205,0:28:33.894991
1524000,1749733417.7397373,0.778229832649231,1727.825207710266,0:28:47.825208
1536000,1749733431.6559138,0.6964705586433411,1741.741384267807,0:29:01.741384
1548000,1749733445.3158135,0.4940970540046692,1755.401283979416,0:29:15.401284
1560000,1749733458.9347038,0.3511108458042145,1769.0201742649078,0:29:29.020174
1572000,1749733472.4935398,0.23447656631469727,1782.5790102481842,0:29:42.579010
1584000,1749733486.1175747,0.3542200028896332,1796.203045129776,0:29:56.203045
1596000,1749733499.7663972,0.7150063514709473,1809.8518676757812,0:30:09.851868
1608000,1749733514.1345596,0.6817106008529663,1824.2200300693512,0:30:24.220030
1620000,1749733528.054338,0.4409998655319214,1838.1398084163666,0:30:38.139808
1632000,1749733541.9031334,0.22567377984523773,1851.9886038303375,0:30:51.988604
1644000,1749733555.401488,0.5852220058441162,1865.4869585037231,0:31:05.486959
1656000,1749733568.8743165,0.06307251751422882,1878.9597868919373,0:31:18.959787
1668000,1749733582.2896998,0.3703727424144745,1892.3751702308655,0:31:32.375170
1680000,1749733595.7423637,0.5872358083724976,1905.8278341293335,0:31:45.827834
1692000,1749733609.2065852,0.7989490628242493,1919.292055606842,0:31:59.292056
1704000,1749733622.6843026,0.045804060995578766,1932.7697730064392,0:32:12.769773
1716000,1749733636.1684117,0.10302107036113739,1946.2538821697235,0:32:26.253882
1728000,1749733649.4948747,0.08781120181083679,1959.5803451538086,0:32:39.580345
1740000,1749733662.9569101,0.21429210901260376,1973.0423805713654,0:32:53.042381
1752000,1749733676.519691,0.4007079005241394,1986.6051614284515,0:33:06.605161
1764000,1749733690.1660306,0.2894369065761566,2000.251501083374,0:33:20.251501
1776000,1749733703.8968341,0.30115824937820435,2013.982304573059,0:33:33.982305
1788000,1749733717.6393633,0.3040233254432678,2027.724833726883,0:33:47.724834
1800000,1749733731.6208546,0.21827319264411926,2041.7063250541687,0:34:01.706325
1812000,1749733745.5384014,0.021288804709911346,2055.6238718032837,0:34:15.623872
1824000,1749733759.3136413,0.11327646672725677,2069.3991117477417,0:34:29.399112
1836000,1749733772.9321778,0.18083512783050537,2083.0176482200623,0:34:43.017648
1848000,1749733786.7515566,0.0937020480632782,2096.8370270729065,0:34:56.837027
1860000,1749733800.6503894,0.1348257213830948,2110.7358598709106,0:35:10.735860
1872000,1749733814.3635385,0.035021018236875534,2124.4490089416504,0:35:24.449009
1884000,1749733827.8651283,0.31760990619659424,2137.950598716736,0:35:37.950599
1896000,1749733841.3527777,0.07735253870487213,2151.438248157501,0:35:51.438248
1908000,1749733855.102306,0.061038121581077576,2165.187776327133,0:36:05.187776
1920000,1749733868.6142623,0.2884271740913391,2178.6997327804565,0:36:18.699733
1932000,1749733882.1533358,0.18436795473098755,2192.238806247711,0:36:32.238806
1944000,1749733895.7208223,0.27663454413414,2205.806292772293,0:36:45.806293
1956000,1749733909.4549108,0.06024358421564102,2219.540381193161,0:36:59.540381
1968000,1749733928.3283885,0.02777499333024025,2238.4138588905334,0:37:18.413859
