step,wall_time,train_loss,relative_seconds,relative_time
1896000,1749901532.6399186,15.817378044128418,2043.6037883758545,0:34:03.603788
1908000,1749901545.6257913,19.52138328552246,2056.5896611213684,0:34:16.589661
1920000,1749901558.5393739,18.1799259185791,2069.5032436847687,0:34:29.503244
1932000,1749901571.386175,12.42855167388916,2082.3500447273254,0:34:42.350045
1944000,1749901583.9276166,29.96680450439453,2094.8914864063263,0:34:54.891486
1956000,1749901596.6969297,6.390501022338867,2107.6607995033264,0:35:07.660800
1968000,1749901609.708008,15.069494247436523,2120.671877861023,0:35:20.671878
1980000,1749901622.7477593,15.012802124023438,2133.711629152298,0:35:33.711629
1992000,1749901635.8790762,6.651366233825684,2146.8429460525513,0:35:46.842946
2004000,1749901648.88336,24.8956241607666,2159.847229719162,0:35:59.847230
2016000,1749901661.8813741,11.07458782196045,2172.8452439308167,0:36:12.845244
2028000,1749901675.0000098,5.186697959899902,2185.963879585266,0:36:25.963880
2040000,1749901688.162974,7.183304786682129,2199.1268439292908,0:36:39.126844
2052000,1749901701.0886493,15.227946281433105,2212.052519083023,0:36:52.052519
2064000,1749901713.90737,2.3801960945129395,2224.871239900589,0:37:04.871240
2076000,1749901726.7515805,1.6569554805755615,2237.7154502868652,0:37:17.715450
2088000,1749901739.6812136,10.677336692810059,2250.645083427429,0:37:30.645083
2100000,1749901752.6517124,4.564877986907959,2263.615582227707,0:37:43.615582
2112000,1749901765.556175,9.936798095703125,2276.5200448036194,0:37:56.520045
2124000,1749901778.5341473,4.751492500305176,2289.4980170726776,0:38:09.498017
2136000,1749901791.2569206,8.040016174316406,2302.2207903862,0:38:22.220790
2148000,1749901804.1482613,14.460196495056152,2315.1121311187744,0:38:35.112131
2160000,1749901817.3267934,1.8947439193725586,2328.29066324234,0:38:48.290663
2172000,1749901830.6213279,9.870194435119629,2341.585197687149,0:39:01.585198
2184000,1749901844.0638697,3.827280044555664,2355.0277395248413,0:39:15.027740
2196000,1749901857.4410908,36.47269821166992,2368.404960632324,0:39:28.404961
2208000,1749901870.6113713,9.031454086303711,2381.575241088867,0:39:41.575241
2220000,1749901883.598785,9.148365020751953,2394.562654733658,0:39:54.562655
2232000,1749901896.4998033,6.8204474449157715,2407.4636731147766,0:40:07.463673
2244000,1749901909.463331,0.9267422556877136,2420.42720079422,0:40:20.427201
2256000,1749901922.415996,4.259517669677734,2433.379865884781,0:40:33.379866
2268000,1749901935.3355842,9.165670394897461,2446.29945397377,0:40:46.299454
2280000,1749901948.2721667,9.45880126953125,2459.2360365390778,0:40:59.236037
2292000,1749901961.169754,6.087176322937012,2472.1336238384247,0:41:12.133624
2304000,1749901974.0515602,1.5604571104049683,2485.0154299736023,0:41:25.015430
2316000,1749901987.1051989,5.042895317077637,2498.069068670273,0:41:38.069069
2328000,1749902000.050367,7.328780174255371,2511.0142369270325,0:41:51.014237
2340000,1749902012.947329,2.3336215019226074,2523.9111988544464,0:42:03.911199
2352000,1749902025.6118364,1.2348370552062988,2536.575706243515,0:42:16.575706
2364000,1749902038.4545054,3.428508996963501,2549.4183752536774,0:42:29.418375
2376000,1749902051.369855,5.068658828735352,2562.3337247371674,0:42:42.333725
2388000,1749902064.4418933,1.03424870967865,2575.4057631492615,0:42:55.405763
2400000,1749902077.479655,2.9845798015594482,2588.443524837494,0:43:08.443525
2412000,1749902090.3666313,0.4076652228832245,2601.3305010795593,0:43:21.330501
2424000,1749902103.1855524,2.2300665378570557,2614.1494221687317,0:43:34.149422
2436000,1749902115.9789312,6.137516498565674,2626.9428009986877,0:43:46.942801
2448000,1749902128.7069807,0.9281729459762573,2639.6708505153656,0:43:59.670851
2460000,1749902141.53933,2.197392225265503,2652.50319981575,0:44:12.503200
2472000,1749902154.4353597,0.5810842514038086,2665.39922952652,0:44:25.399230
2484000,1749902167.319941,2.191450357437134,2678.283810853958,0:44:38.283811
2496000,1749902180.269015,3.9082956314086914,2691.2328848838806,0:44:51.232885
2508000,1749902193.211745,0.6857779026031494,2704.175614833832,0:45:04.175615
2520000,1749902205.849825,11.906402587890625,2716.8136947155,0:45:16.813695
2532000,1749902218.6768668,3.7784807682037354,2729.640736579895,0:45:29.640737
2544000,1749902231.7146032,1.215874195098877,2742.678472995758,0:45:42.678473
2556000,1749902244.869882,0.25193342566490173,2755.8337519168854,0:45:55.833752
